Question No.,Preclinical / Clinical,Difficulty Level,Question Stem,Answer Options ,Explanation
25,Clinical,Medium,"Vanessa is a 36-year-old female who is visiting her Rheumatologist for follow up regarding her Systemic Lupus Erythematosus (SLE). She has been taking high doses of prednisolone to manage frequent flare ups whilst on hydroxychloroquine. She is started on a biological disease-modifying antirheumatic drug, Belimumab, in an attempt to gain better control of her symptoms. 

When discussing the side effects of Belimumab, which of the following is essential to mention?
","Select one:

a.
Liver Cirrhosis


b.
Osteoporosis


c.
Pancreatitis


d.
Progressive Multifocal Leukoencephalopathy (PML)



e.
Retinal Damage

","The correct answer is Progressive Multifocal Leukoencephalopathy (PML).

Belimumab is a monoclonal antibody used to treat SLE. An important side effect is PML. PML is a serious, life-threatening brain infection. Patients starting on Belimumab should be aware of this risk and inform their healthcare provider if they notice any memory loss, dizziness, difficulty talking or walking, or loss of vision.

Distractors:

Liver cirrhosis – side effect of methotrexate

Osteoporosis – side effect of corticosteroids

Pancreatitis – side effect of azathioprine

Retinal damage – side effect of hydroxychloroquine

 

General Information:

SLE is a chronic inflammatory multi-system disease characterised by production of autoantibodies. The aetiology is multi-factorial and not fully understood – involves genetic and environmental factors (UV radiation, smoking, infection, vitamin D deficiency). There is also a subset of drug-induced lupus which can be caused by a range of medications including, phenytoin, anti-hypertensives, isoniazid and the oral contraceptive pill. This type often involved anti-histone antibodies and resolves with discontinuation of the drug.

The clinical manifestations/diagnosis of SLE can be remembered using MD SOAP BRAIN: Malar rash, Discoid rash, Serositis, Oral ulcers, ANA, Photosensitivity, Blood, Renal, Arthritis, Immune, Neurologic. It has pattern of exacerbation and remission. It is more common in females of childbearing age. Investigations involve ANA, anti-dsDNA, anti-Sm, serum complement (C3, C4) and antiphospholipid antibodies. Anti-dsDMA and anti-Sm are the most specific for diagnosis. Treatment aims for inducing remission and avoiding long-term steroid use. This is generally coordinated by a rheumatologist. Corticosteroids are used for acute flare ups. Conventional synthetic disease-modifying antirheumatic drug (csDMARDs) include azathioprine, cyclophosphamide, hydroxychloroquine, methotrexate. Belimumab and rituximab are biological disease-modifying antirheumatic drug (bDMARDs). Hydroxychloroquine is generally recommended as first line, but treatment choices are guided by the patient’s response and combinations are often used.

 

References:

eTG: Systemic lupus erythematosus

https://www.racgp.org.au/afp/2013/october/systemic-lupus-erythmatosus/

https://www.lupus.org/resources/medications-used-to-treat-lupus

https://www.benlysta.com/risks-side-effects.html

https://www.rheumtutor.com/diseases/systemic-lupus-erythematosus/


The correct answer is: Progressive Multifocal Leukoencephalopathy (PML)"
26,Clinical,Medium,"Stacy is a 25-year-old female who is visiting her Rheumatologist for follow up regarding her Systemic Lupus Erythematosus (SLE). Her symptoms have been well controlled with a disease-modifying antirheumatic drug (DMARD), but she is particularly concerned about what will happen if she becomes pregnant. Given the increased risk flare ups during pregnancy which treatment would be most appropriate treatment for SLE during pregnancy?","Select one:

a.
Azathioprine


b.
Belimumab


c.
Cyclophosphamide


d.
Hydroxychloroquine


e.
Methotrexate","The correct answer is Hydroxychloroquine.

No medications used for the treatment of SLE are absolutely safe during pregnancy. Hydroxychloroquine is a TGA category D drug, however, studies have shown hydroxychloroquine can be safely used for flares in disease activity. Guidelines generally recommended it to be continue during pregnancy. This is especially important in severe disease where flare ups would be detrimental to both the mother and foetus.

Distractors:

Azathioprine – not recommended in pregnancy, TGA category D

Belimumab – not recommended in pregnancy, not enough research has been done on its effects.

Cyclophosphamide – not recommended in pregnancy, TGA category D

Methotrexate – not recommended in pregnancy, TGA category D

TGA category D = drugs which have caused, are suspected to have caused or may be expected to cause, an increased incidence of human foetal malformations or irreversible damage.

 

General Information:

SLE is a chronic inflammatory multi-system disease characterised by production of autoantibodies. The aetiology is multi-factorial and not fully understood – involves genetic and environmental factors (UV radiation, smoking, infection, vitamin D deficiency). There is also a subset of drug-induced lupus which can be caused by a range of medications including, phenytoin, anti-hypertensives, isoniazid and the oral contraceptive pill. This type often involved anti-histone antibodies and resolves with discontinuation of the drug.

The clinical manifestations/diagnosis of SLE can be remembered using MD SOAP BRAIN: Malar rash, Discoid rash, Serositis, Oral ulcers, ANA, Photosensitivity, Blood, Renal, Arthritis, Immune, Neurologic. It has pattern of exacerbation and remission. It is more common in females of childbearing age. Investigations involve ANA, anti-dsDNA, anti-Sm, serum complement (C3, C4) and antiphospholipid antibodies. Anti-dsDMA and anti-Sm are the most specific for diagnosis. Treatment aims for inducing remission and avoiding long-term steroid use. This is generally coordinated by a rheumatologist. Corticosteroids are used for acute flare ups. Conventional synthetic disease-modifying antirheumatic drug (csDMARDs) include azathioprine, cyclophosphamide, hydroxychloroquine, methotrexate. Belimumab and rituximab are biological disease-modifying antirheumatic drug (bDMARDs). Hydroxychloroquine is generally recommended as first line, but treatment choices are guided by the patient’s response and combinations are often used.

 

References:

eTG: Systemic lupus erythematosus

https://www.racgp.org.au/afp/2013/october/systemic-lupus-erythmatosus/

https://www.lupus.org/resources/medications-used-to-treat-lupus

https://www.rheumtutor.com/diseases/systemic-lupus-erythematosus/

MIMS

https://www.tga.gov.au/prescribing-medicines-pregnancy-database


The correct answer is: Hydroxychloroquine"
27,Clinical,Medium,"Brad is a 52-year-old male who has been in hospital for the past two weeks to treat acute pulmonary oedema related to his congestive cardiac failure. On ward rounds today he complained of a red, swollen and very painful left big toe. Your examination confirms this, and you plan for a joint aspiration. Given your strong suspicion of gout you also start Brad on colchicine in the meantime. When charting this you look through his other medications. Which of the following may have preceded his acute attack of gout?","Select one:

a.
Bisoprolol


b.
Captopril


c.
Furosemide


d.
Losartan


e.
Paracetamol","The correct answer is Furosemide.

Furosemide is a loop diuretic used to treat fluid overload. Diuretics are the most important cause of secondary gout. Two-thirds of uric acid excretion is via the kidneys (1/3 gastrointestinal tract) and dehydration and diuretics increase the risk of gout.

Distractors:

Bisoprolol – beta-blocker, not associated with an increased risk of gout

Captopril – ACE inhibitor, not associated with an increased risk of gout

Losartan – angiotensin receptor blocker, not associated with an increased risk of gout

Paracetamol – analgesia, not associated with an increased risk of gout


General information:

Gout involves  the deposition of monosodium urate crystals in the body. This affects the joints, soft tissue and kidneys. Symptoms include joint pain and swelling which may be part of an acute attack or chronic gouty arthritis. Kidney manifestations include nephrolithiasis and chronic urate nephropathy which may progress to chronic kidney disease.

Risk factors are related to increased serum uric acid concentration – purine-rich foods (meat, seafood), alcohol, fructose-sweetened drinks, diuretics, dehydration. Hypertension, chronic kidney disease, dyslipidaemia, type 2 diabetes and obesity are also risk factors. When serum uric acid concentration is greater than 0.54 mmol/L the incidence of gout increased exponentially.

Definitive diagnosis is with a joint aspiration showing monosodium urate crystals. Treatment for acute gout is symptomatic with an NSAID or prednisolone or colchicine. Long-term management is urate lowering therapy with allopurinol.

 

References:

eTG - Gout

https://www1.racgp.org.au/ajgp/2018/june/chronic-gout


The correct answer is: Furosemide"
28,Clinical,Medium,"Matt is a 48-year-old male who is visiting his GP to discuss management of his gout. He has had multiple episode of acute gout affecting his first metatarsophalangeal (MTP) joint. Additionally, he has suffered from recurrent kidney stones. This has caused significant distress for Matt as he has only used pain-relief in the past and is troubled by the recurrence of his gout.  The GP decides to start him on allopurinol and colchicine. 

Which of the following statements best describes how allopurinol works to reduce attacks of gout?
","Select one:

a.
Binding to the kidneys’ organic anion transporter



b.
Increased excretion of uric acid in the urine



c.
Increased hepatic excretion of uric acid


d.
Inhibits superoxide anion production


e.
Inhibits xanthine oxidase to block production of uric acid

","The correct answer is: Inhibits xanthine oxidase to block production of uric acid.

Allopurinol is a xanthine-oxidase inhibitor. This prevents the oxidation of hypoxanthine and xanthine to uric acid.

Distractors:

Binding to the kidneys’ organic anion transporter – involved in the mechanism of Probenecid. It is a second-line medication used to lower uric acid levels. Normally uric acid is reabsorbed by the kidneys’ organic anion transporter (OAT). When probenecid is present It binds preferentially to the OAT increasing uric acid excretion in the urine and lowering serum levels of uric acid.

Increased excretion of uric acid in the urine – part of the mechanism of action of Probenecid (above).

Increased hepatic excretion of uric acid – uric acid is not excreted via the liver. 2/3 is via the kidneys and 1/3 via the gastrointestinal tract.

Inhibits superoxide anion production – part of the proposed mechanisms of colchicine’s action in gout. Colchicine additionally reduces the efficacy of the inflammatory response to urate crystals – inhibiting activation and migration of neutrophils, interrupting mast cell degranulation.

 

General information:

Gout involved the deposition of monosodium urate crystals in the body. This affects the joints, soft tissue and kidneys. Symptoms include joint pain and swelling which may be part of an acute attack or chronic gouty arthritis. Kidney manifestations include nephrolithiasis and chronic urate nephropathy which may progress to chronic kidney disease.

Risk factors are related to increased serum uric acid concentration – purine-rich foods (meat, seafood), alcohol, fructose-sweetened drinks, diuretics, dehydration. Hypertension, chronic kidney disease, dyslipidaemia, type 2 diabetes and obesity are also risk factors. When serum uric acid concentration is greater than 0.54 mmol/L the incidence of gout increased exponentially.

Definitive diagnosis is with a joint aspiration showing monosodium urate crystals. Treatment for acute gout is symptomatic with an NSAID or prednisolone or colchicine. Long-term management is urate lowering therapy with allopurinol.

 

References:

eTG - Gout

https://www.racgp.org.au/afp/2016/may/the-management-of-gout-much-has-changed/

https://www1.racgp.org.au/ajgp/2018/june/chronic-gout

Australian Medicines Handbook


The correct answer is: Inhibits xanthine oxidase to block production of uric acid"
29,Clinical,Medium,"You are a resident in a metropolitan ED. Dave is a 22 year old male who comes into the ED after being stabbed in his thigh with a broken beer bottle during night out. You suture the wound then admit him to SSU to monitor him overnight. You start him on 2.5mg of oxycodone, but find he is still complaining of pain. You prescribe 5mg oxycodone which offers some relief but he notes he doesn’t still feel great and wants more if possible. You examine him and find your sutures staying together well despite swelling. Through checking his pulses and neurological exam, he appears neurovascularly intact. His power is 5/5 symmetrically although does complain of pain with passive stretching on his affected leg. What is the most appropriate next action for you?","Select one:

a.
Increase analgesia to 5-10mg oxycodone, write a naloxone PRN dose


b.
Order an ultrasound of the thigh and check clotting times



c.
Urgent ortho/plastics referral


d.
Cease all narcotics, call addiction medicine


e.
Ask for a physiotherapy review, continue current pain relief","The correct answer is C. Urgent ortho/plastics referral

This is a case of compartment syndrome until it can be effectively ruled out, hence why referral is required. The man needs urgent surgical intervention, or he will lose his leg. While he is neurovascularly intact, this does not rule out compartment syndrome. Pulses can remain even in advanced compartment syndrome. Continuously escalating pain requirements is the most significant red flag of compartment syndrome.

 

Distractors:

A.     Increase analgesia to 5-10mg oxycodone, write a naloxone PRN dose

This is a reasonable plan when increasing opioid doses however it fails to recognise the significance of the compartment syndrome.

B.     Order an ultrasound of the thigh and check clotting times

This would be a reasonable response if a DVT was suspected (and there may be a dvt) however compartment syndrome takes precedence over essentially any other non-life threatening condition

C.    Cease all narcotics, call addiction medicine

While opioid addicts do present to emergency departments this is not a typical presentation due to the clear precipitating injury. Addicts will typically use a less visible pain eg a kidney stone

D.     Ask for a physiotherapy review, continue current pain relief.

This does not take into the significance of the compartment syndrome.

References:

https://lifeinthefastlane.com/compartment-syndrome/
The correct answer is: Urgent ortho/plastics referral"
30,Clinical,Medium,"Jeffrey is a 36 year old male who comes in complaining of knee pain for the past week, to the point where he is unable to walk on it. He is afebrile. You take a detailed history and find it is unremarkable aside from a chlamydia infection a few weeks prior which was managed with a stat dose of azithromycin.

What symptom is Jeffrey most likely to also have?
","Select one:

a.
Salmon coloured plaques with silvery scale on his elbows and knees


b.
Intense pain on moving the knee in any direction


c.
Lower back pain and stiffness


d.
Anterior uveitis


e.
Unilaterally swollen large big toe","The correct answer is C – Lower back pain and stiffness

This is most likely reactive arthritis due to large joint asymmetrical mono/oligoarthritis following a chlamydia infection. Reactive arthritis is typically caused by a sexually transmitted infection or gastrointestinal infections. As reactive arthritis is a seronegative spondyloarthropathy (with psoriatic arthritis, enteropathic arthritis and ankylosing spondylitis), it can cause back pain and commonly does.

 

Distractors:

A – Salmon coloured plaques with silvery scale on his elbows and knees

This a description of psoriasis. Psoriasis can cause an arthritis, but there is little to suggest this arthritis is psoriatic.

B – Intense pain on moving the knee in any direction

This presentation suggests septic arthritis. Septic arthritis is unlikely given the subacute presentation, and the fact that he is afebrile.

D – Anterior uveitis

This is part of Reiter's triad (urethritis, uveitis, arthritis) and a possible symptom of reactive arthritis. However only a small amount of people with reactive arthritis present with uveitis.

E – Unilaterally swollen large big toe

This suggests gout. There are no other indicators of gout in the stem.

References: Uptodate: Reactive arthritis
The correct answer is: Lower back pain and stiffness"
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
