source_file,type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
4. Respiratory_Respiratory_5.csv,Preclinical,Medium,"[""respiratory""]","A 35 year old man presents with a productive cough, wheezing, and dyspnoea on exertion. His mother passed away during his infancy and he has been estranged from his parents since adolescence, but believes that his father experienced similar symptoms.
Upon examination, his chest is hyperinflated, accessory respiratory muscle usage is noted, and he has an expiratory wheeze.
Blood tests confirm a diagnosis of alpha-1 antitrypsin deficiency. 
Which of the following is most responsible for the emphysematous changes in his lungs?","[""Type I alveolar epithelial cells"", ""Alveolar macrophages"", ""Type II alveolar epithelial cells"", ""Angiotensin converting enzyme"", ""Neutrophil elastase""]",E,Neutrophil elastase,
18. MSK_Rheum__MSKRheum_1.csv,Clinical,Medium,"[""hydroxychloroquine"", ""rheumatology""]","Stacy is a 25-year-old female who is visiting her Rheumatologist for follow up regarding her Systemic Lupus Erythematosus (SLE). Her symptoms have been well controlled with a disease-modifying antirheumatic drug (DMARD), but she is particularly concerned about what will happen if she becomes pregnant. Given the increased risk flare ups during pregnancy which treatment would be most appropriate treatment for SLE during pregnancy?","[""Azathioprine"", ""Belimumab"", ""Cyclophosphamide"", ""Hydroxychloroquine"", ""Methotrexate""]",D,Hydroxychloroquine,
12. Surgery & Anatomy_Ophthal_2.csv,Clinical,Easy,"[""cataracts"", ""ophthalmology"", ""surgery & anatomy""]","Belinda is a 21 year old female who presents to the GP with decreasing visual acuity. Upon examination, the eye appears more opaque than usual and she does not report pain. Additionally, she claims that she has a difficult time driving at night. She reports a medical history of eczema and cystic acne. 
What is the likely diagnosis?","[""Acute angle closure glaucoma"", ""Acute open angle glaucoma"", ""Cataracts"", ""Retinal detachment"", ""Keratitis""]",C,Cataracts,
9. Nephrology & Urology_Nephrology___Urology_1.csv,Clinical,Medium,"[""benign prostatic hyperplasia"", ""nephrology"", ""nephrology & urology"", ""urology""]","A 64 year old male patient presents to his GP with a 2 year history of progressively worsening hesitancy and dribbling. He denies all other symptoms on history. He recalls that his father suffered from a similar problem for many years that went untreated. The GP orders a serum PSA which shows a value of 6.0ng/ml (normal range 0-4.5ng/ml).
What is most likely to be found on PR examination?","[""A tender, boggy prostate"", ""A diffusely enlarged, rubbery prostate"", ""An irregular, nodular prostate"", ""A unilaterally enlarged, hard prostate"", ""A normal prostate""]",B,"A diffusely enlarged, rubbery prostate",
2. Revision Quizzes_Medicine.csv,Clinical,Easy,"[""medicine"", ""revision quizzes""]","Holly, an eleven-month old baby girl is brought into the emergency department by her stressed father. The father tells the intern that last night when she fell asleep she was fine, other than a runny nose she had picked up from daycare. Sometime during the night her breathing became noisy which worsened when she woke up this morning. She has also developed a terrible barking cough since waking up this morning which is causing her and the family much distress. Holly was born at term via a normal vaginal delivery. She is up to date with all her vaccines and has been feeding and drinking as per usual except for the last 2 days due to her runny nose. She does not have any known allergies.
 On examination you observe a 11 month old infant who is interacting with her environment appropriately. Her vital signs are mostly normal except for her respiratory rate of  45 breaths per minute and a temperature of 37.9 degrees. Her breathing is noisy at times, with the worst sound being during inspiration with some associated chest wall retraction.
 What is the MOST APPROPRIATE management for Holly?","[""Requires immediate ICU input"", ""Dexamethasone\\nas a single dose"", ""Intubation"", ""Nebulised saline"", ""Nebulised adrenaline""]",B,Dexamethasone\nas a single dose,
3. Cardiology_Cardio_3.csv,Clinical,Easy,"[""cardiology""]","Jenna is a 35 year old female who presents to the emergency department with a sudden onset of calf swelling and pain. She has no significant past medical history. Homan's sign is positive on examination and she is hemodynamically stable with no other focal findings. Doppler ultrasound of the affected limb confirms your diagnosis. 
Which of the following would you LEAST expect to find on further history, examination, and investigation of Jenna?","[""Elevated D-dimer"", ""Elevated prothrombin time"", ""Oral contraceptive pill use"", ""Recent international travel"", ""Active malignancy""]",B,Elevated prothrombin time,
4. Respiratory_Respiratory_5.csv,Clinical,Easy,"[""respiratory""]","Richard is a 55 year old male who presents to the ED with a 2 week history of a productive cough, dyspnea, chest pain, malaise and fever. 
Bloods show leukocytosis, an elevated CRP and pH < 7.2. Chest x-ray shows pleural effusion. A CT scan shows a split pleural sign. Thoracentesis shows the presence of frank pus. 
Which of the following would be the next best action(s) to perform in this situation?","[""Administration of Empirical Antibiotics"", ""Administration of Empirical Antibiotics and prompt chest tube drainage"", ""Prompt chest tube drain"", ""Administration of Empirical Antibiotics and prompt thoracic surgery"", ""Administration of Empirical Antibiotics and MRI""]",B,Administration of Empirical Antibiotics and prompt chest tube drainage,
12. Surgery & Anatomy_Ophthal_2.csv,Clinical,Medium,"[""ophthalmology"", ""surgery & anatomy"", ""vitreous haemorrhage""]","Lucy, a 66 year old woman, presents to the Emergency Department with a sudden loss of vision in her left eye. Upon further questioning, you discover that the vision loss occurred 2 hours ago while she was out walking her dog, Sally. She denies any pain as it occurred as well as any trauma to the eye.
She does report having a bit of flashing in her eye recently as well as some floating objects that she assumed was dust in her house. She has a history of poorly controlled type 2 diabetes mellitus, with her most recent HbA1c reading being 8.5%. During her latest ophthalmological  examination, the doctor had told her she had some ""new blood vessels"" in her eyes and that she really needs to get her sugars under control.
On examination, there is nothing obviously abnormal with her eye, with her visual acuity being 6/12 in her right eye and complete visual loss in the left eye with a reduced red reflex as well.
What is the MOST LIKELY diagnosis?","[""Amaurosis fugax"", ""Vitreous hemorrhage"", ""Central retinal artery occlusion"", ""Retinal detachment"", ""Acute angle closure glaucoma""]",B,Vitreous hemorrhage,
10. Infectious Diseases_Infectious_Diseases_2.csv,Clinical,Easy,"[""diseases"", ""infectious"", ""infectious diseases"", ""sexually transmitted diseases"", ""sti""]","A 23 year old girl presents to her GP after noticing light bleeding after passing stools. She denies any other changes to her bowel habits and has not looked for any visible stool changes. On further history, the girl describes some groin itch and slight discomfort. She has not had difficulties with urinating or noticed any changes to her urine. She denies any significant pain and has had no recent nausea or vomiting. She is sexually active with one consistent partner and they use condoms. She has no history of sexually transmitted infections and has had no other abnormal bleeding. On examination, the girl appears well with a temperature of 37.4. A vaginal exam shows several small flesh-coloured bumps in and around the genital folds and anal region. No ulcers are noted and the rest of the exam appears normal including no purulent discharge, odour or erythema. What is the most likely diagnosis?","[""Chlamydia"", ""Gonorrhoea"", ""Herpes simplex virus (HSV)"", ""Human papillomavirus (HPV)"", ""Trichomoniasis""]",D,Human papillomavirus (HPV),
7. Neurology_Neuro_2.csv,Preclinical,Medium,"[""neurology"", ""vertebral injury""]","A 39 year-old patient has been diagnosed with a cervical spinal tumour that is causing a right-sided hemisection of the spinal cord. She presents to her neurologist. 
What finding might you expect to find on examination?","[""Ipsilateral negative Babinski sign"", ""Ipsilateral loss of vibration below the level of the lesion"", ""Flaccid paralysis below the level of the lesion"", ""Contralateral loss of fine touch below the level of the lesion"", ""Ipsilateral loss of pain below the level of the lesion""]",B,Ipsilateral loss of vibration below the level of the lesion,
18. MSK_Rheum__MSKRheum_3.csv,Clinical,Easy,"[""rheumatology""]","Lucy, a 23-year-old female, presents to the emergency department after landing awkwardly on her right foot during a netball game. She demonstrates the position her right foot landed in as inverted in a plantar-flexed position.
On examination, her ankle appears swollen and is tender to palpation.
She does not meet the criteria for the Ottawa Ankle Rules.
Which of the following is the most likely diagnosis?","[""5th\\nmetatarsal base fracture"", ""Fractured medial\\nmalleolus"", ""Fractured lateral\\nmalleolus"", ""Anterior talofibular ligament sprain"", ""Deltoid ligament\\nsprain""]",D,Anterior talofibular ligament sprain,
12. Surgery & Anatomy_LL___Spine.csv,Preclinical,Hard,"[""ll"", ""spine"", ""surgery & anatomy""]","An
 18 year old female presents to the emergency department with acute left
 lower leg ischemia. She has complained of pain over the last 2 months 
but attributed that to her very active lifestyle (marathon runner). Over
 the last 3 days, she has lost all sensation to her leg as well as the 
leg looking pale and colourless. Upon examination, the leg is cold to 
touch and there was an absence of pedal and popliteal pulses.She
 was immediately taken to the operating theatre and had an angiogram 
done. She was diagnosed with Adductor canal compression syndrome.Which of the following structures would NOT be affected in this patient?","[""Femoral Vein"", ""Nerve to the Vastus Medialis."", ""The Saphenous Nerve"", ""Femoral Artery"", ""The Great Saphenous Vein""]",E,The Great Saphenous Vein,
7. Neurology_Neuro_3.csv,Clinical,Hard,"[""neurology""]","A 57 year old male presents to the emergency department with a 2 hour history of slurred speech and inability to move his right arm. Prior to this he was watching television and was able to reach the remote to change channels. His wife noticed his slurred speech and called an ambulance. His medical history includes hypertension and type 2 diabetes mellitus. He has never experienced anything like this in the past.
His vitals include: HR: 87, BP: 170/76, O2 saturation: 95%, Temp: 37.5, RR: 20
A physical examination revealed sensory and motor function loss in his right arm and leg. His left arm and leg had motor and sensory function intact. 
Which of the following is NOT part of the immediate course of action?","[""ECG"", ""Contrast CT"", ""Nil by mouth until speech pathology review"", ""Blood sugar levels"", ""Coagulation profile""]",B,Contrast CT,
12. Surgery & Anatomy_Ophthal_3.csv,Clinical,Hard,"[""ophthalmology"", ""surgery & anatomy""]","A 45-year-old Indigenous Australian woman presents to her GP complaining of her progressively worsening vision and painful eyes. She reveals that as a child, there were multiple occasions where she had a red or discharging eye, and says that this was back when she lived in a rural community.
On examination, her left eye is red, and lid margins of both eyes roll inwards, causing in-turned lashes. Scarring of the tarsal conjunctiva is noted.
Which of the following is false regarding the condition she most likely presents with?","[""Sexual transmission can also cause this disease"", ""Active infection should be treated with azithromycin"", ""Isolation is not necessary"", ""Surgery is not a definitive cure"", ""It can cause irreversible vision loss""]",A,Sexual transmission can also cause this disease,
12. Surgery & Anatomy_Ophthal_1.csv,Clinical,Easy,"[""ophthalmology"", ""pain"", ""surgery & anatomy""]","Britney is a 35 year old female who presents to the Emergency Department with painful blurring of vision in one eye for the past 24 hours. She has had no previous episodes of this; but, she reports a confusing loss of sensation in her right leg for one week approximately two years ago. Otherwise, she has no significant medical history. On examination, her visual acuity is 6/60 in her left eye and 6/6 in her right eye. She notes a desaturation of colour on the borders of her vision in her left eye.
Given the likely diagnosis, what is the most likely finding on physical examination?","[""Pain with eye movements"", ""Blue tinge to the sclera"", ""Presence of a hypopyon"", ""Posterior Synechiae"", ""Central, dendritic corneal ulcer""]",A,Pain with eye movements,
5. Gastroenterology_Gastroenterology_6.csv,Clinical,Hard,"[""gastroenterology""]","A 3-week-old baby boy is brought into the ED by his parents with persistent vomiting which has become progressively worse in the last few days. The parents report that the baby has no fever but has been vomiting with every feed and seems to be hungry despite each feed. They expressed that feeding him has been quite difficult and they have been struggling to keep his weight on. The baby has not had any diarrhoea. This is their first child and there is no relevant antenatal or birth history. 
On physical examination, the patient has dry mucous membranes and reduced skin turgor. An olive-shaped mass is palpable in his right upper abdomen. 
An ultrasound of the abdomen indicates an elongated pyloric channel length >17mm and pyloric muscle thickness >4mm. An electrolyte panel indicates hypochloremic alkalosis.
What is the first line of management for this patient?","[""Pyloromyotomy"", ""Fluid resuscitation"", ""Endoscopic balloon dilation"", ""Oral and intravenous (IV) atropine sulphate"", ""Thickened fluids for feeding""]",B,Fluid resuscitation,
3. Cardiology_Cardio_4.csv,Preclinical,Medium,"[""cardiology"", ""htn""]","A 64 year old man, Peter, presents to his GP for his annual flu vaccination and follow up of his blood pressure which has recently been elevated. As a result, he has begun implementing lifestyle changes such as reducing his salt intake and trying to cut down on smoking. He has otherwise been working in his job as an accountant as usual, and has not noted any new symptoms since his last check up 1 week ago. This includes no shortness of breath, chest pain, lethargy and palpitations.
On examination, he is afebrile with a regular heart rate of 64 and a BMI of 32. His blood pressure is 162/110, consistent with his past two readings of 164/115 and 162/108. 
Peter is a type 2 diabetic and has hypercholesterolaemia. He takes metformin, atorvastatin, vitamin B12 supplements and glucosamine. He has no personal or family history of cardiac events. Peter has no allergies.
What management should the GP provide for Peter?","[""Enalapril (angiotensin converting enzyme inhibitor)"", ""Hydrochlorothiazide (thiazide diuretic)"", ""Verapamil (calcium channel blocker)"", ""Moxonidine (anti-adrenergic)"", ""Atenolol (beta blocker)""]",A,Enalapril (angiotensin converting enzyme inhibitor),
3. Cardiology_Cardio_6.csv,Clinical,Easy,"[""cardiology""]","A 3-year-old boy is brought into the hospital emergency department with a 7-day history of fever. The child appears to be irritable and is being carried by his father because his feet are red and sore. The father reports that he has a history of severe eczema and is not currently taking any medication. 
On further examination the child has bilateral conjunctival injection, a strawberry tongue, an erythematous maculopapular rash across the trunk and arms, and cervical lymphadenopathy. 
The child has an echocardiogram completed 6 weeks after their initial presentation which reveals a coronary artery aneurysm.
Based on this information, what is the most likely diagnosis?","[""Scarlet fever"", ""Kawasaki disease"", ""Impetigo"", ""Stevens-Johnson syndrome"", ""Erythrodermic psoriasis""]",B,Kawasaki disease,
5. Gastroenterology_Gastroenterology_6.csv,Clinical,Easy,"[""gastroenterology""]","A 28-year-old female patient presents to the GP with complaints of multiple episodes of dull right hypogastric pain following ingestion of food. Her abdominal pain sometimes travels to the right shoulder blade and lasts between minutes to an hour and then goes away. The pain is relieved by panadol, but her episodes have become increasingly frequent. Her partner has recently commented on a slight yellowing of her skin and she also noted that her urine has become dark and stools a little pale, which has become a major concern for her.
She has no significant medical history and is not on any medications except an occasional multivitamin.
She is a non-smoker and drinks a glass of wine most nights with her meal with no history of drug use. There is no family history of liver cancer or gastric-related diseases.
Physical examination indicates normal vitals with abdominal tenderness over the right upper quadrant with no evident hepatomegaly.
Liver function test (LFT) was ordered, and results indicate an elevation in bilirubin and concurrent elevation in alkaline phosphatase (ALP) and enzyme gamma-glutamyl transferase (GGT).
What is the most likely diagnosis?","[""Acalculous cholecystitis"", ""Cholelithiasis"", ""Acute cholecystitis"", ""Cholangitis"", ""Alcoholic hepatitis""]",B,Cholelithiasis,
16. Obstetrics & Gynaecology_Obstetrics_3.csv,Clinical,Medium,"[""obstetrics"", ""obstetrics & gynaecology""]","A 30-year-old woman who is 28 weeks pregnant presents to her obstetrician for follow-up after a growth scan ultrasound. She reports that the pregnancy has been fine with normal baby movements, no vaginal bleeding and no abdominal pain. This is her second pregnancy and her first pregnancy was complicated by intrauterine growth restriction although she delivered a healthy baby at 39 weeks.
On examination, she is found to have a blood pressure of 120/80 mmHg. Doppler ultrasound reveals a fetal heartbeat of 160bpm. Her symphysis-fundal height is measured at 25 centimetres.
Results of her 28 week growth ultrasound reveal a head circumference at the 9th percentile and an abdominal circumference at the 7th percentile. Her growth ultrasound at 24 weeks had revealed a head circumference at the 20th percentile and abdominal circumference at the 15th percentile.
Which of the following would best explain the growth scan results?","[""Preeclampsia"", ""Multiple pregnancy"", ""Gestational diabetes"", ""Constitutionally small baby"", ""Aneuploidy""]",E,Aneuploidy,
5. Gastroenterology_Gastroenterology_5.csv,Clinical,Easy,"[""gastroenterology""]","A 28 year old female has presented to her GP with rectal bleeding. Yesterday she noticed bright red blood on her toilet paper when wiping. She has no associated pain, mucous, fever, fatigue, weight loss or change to bowel habits. She has not recently traveled and has been feeling well prior to this incident. 
She is currently 34 weeks pregnant. Her pregnancy has been uncomplicated, excluding some mild constipation for the past 3 weeks. She is up to date with her vaccinations, does not take any medications and does not have any allergies.
Her vital signs are within normal ranges. Gross examination of the anus shows no obvious prolapse, fissures or lesions.
What is the MOST LIKELY diagnosis?","[""Colorectal cancer"", ""Haemorrhoids"", ""Anal carcinoma"", ""Inflammatory bowel disease"", ""Anal fissure""]",B,Haemorrhoids,
2. Revision Quizzes_Ophthalmology.csv,Clinical,Easy,"[""crao"", ""ophthalmology"", ""revision quizzes""]","A 60 year old woman presents to emergency with a 30 minute history of monocular visual loss in her right eye. She states that the process was painless and there was no trauma to the eye. Her past medical history is significant for hyperlipidemia,  hypertension and type 2 diabetes mellitus. 
On examination, her blood pressure is 160/85 mm Hg, and visual examination reveals 6/12 vision in the left eye and no perception of light in the right. Direct pupillary reflex is present in the left eye but absent in the right eye. Accommodation is intact bilaterally. Intraocular pressure is 16 mm Hg in the left eye and 18 mm Hg in the right eye. On fundoscopy, a cherry red spot is seen in the macula. 
What is the most likely diagnosis?","[""Retinal Detachment"", ""Central retinal vein occlusion"", ""Acute angle closure glaucoma"", ""Optic neuritis"", ""Central Retinal Artery Occlusion""]",E,Central Retinal Artery Occlusion,
18. MSK_Rheum__MSKRheum_2.csv,Clinical,Medium,"[""back pain"", ""rheumatology""]","A 42 year old male manual labourer presents to the GP clinic with dull lower back pain of 1 week. He is normally fit and well, with no significant past medical history, although he recalls a similar episode a couple of years ago that recovered after a few weeks of rest. 
Neurological exam is normal, with no concerning features such as pain in his legs, weakness or sensation changes. 
After the GP explains his provisional diagnosis, educates the patient about staying active and exercising, and counsels him regarding work participation, the patient asks if there were any medications that he could take to have some short-term pain relief. 
Which of the following drugs should the GP trial for this patient?","[""Oral paracetamol"", ""Oral ibuprofen"", ""Topical diclofenac"", ""Oral prednisolone"", ""Oral oxycodone""]",B,Oral ibuprofen,
12. Surgery & Anatomy_LL___Spine.csv,Preclinical,Medium,"[""back"", ""ll"", ""rheumatology"", ""spine"", ""surgery & anatomy""]","A
 surgeon wishes to access the quadratus lumborum muscle. Upon revising 
the layers of the thoracolumbar fascia, he understands that there are 3 
layers of fascia which enclose different sets of muscles. Upon 
performing the surgery, immediately between which two layers will he 
find the quadratus lumborum muscle?","[""Between the anterior and middle layers"", ""Anterior to the anterior layer"", ""Between the middle and posterior layers"", ""Between the anterior and posterior layers"", ""Between the medial and lateral layers""]",A,Between the anterior and middle layers,
18. MSK_Rheum__MSKRheum_1.csv,Clinical,Medium,"[""colchicine"", ""medicine"", ""rheumatology""]","A 58 year old Maori patient comes into the ED with an extremely swollen and painful right swollen toe, which he rates a 9/10. 
His past medical history is significant for left-sided heart failure - for which he takes metoprolol 50mg BD, frusemide 40mg daily, sacubitril + valsartan 24/26 BD and slow K 600mg daily. He also admits to taking paracetamol regularly for some joint pain, but mentions the paracetamol has not worked for his current pain. The patient also has T2DM which is well managed with Novomix 20 units TDS and some dapagliflozin 10mg daily. He has no allergies. He has a BMI of 35. 
Upon examination, the joint is extremely swollen, so much so that he cannot move the joint at all. The examination is also limited by pain.
Further X-Ray imaging shows some tophi on the toe. Blood tests show he has an eGFR of 88ml/min.
What would be an appropriate pharmacological management strategy for this patient?","[""Allopurinol 100mg daily then increase gradually."", ""Colchicine 1mg stat, then 500mcg 1 hour later."", ""Prednisolone 50mg stat then 25mg 1 daily thereafter"", ""Indomethacin 50mg QID"", ""Probenecid 250mg bd for 1 week""]",B,"Colchicine 1mg stat, then 500mcg 1 hour later.",
16. Obstetrics & Gynaecology_Obstetrics_2.csv,Clinical,Easy,"[""obstetrics"", ""obstetrics & gynaecology""]","A 24 year old nulliparous woman present to the hospital at 39 weeks for a scheduled induction of labour. The woman was in labour for 6 hours and successfully delivered a healthy baby boy. Following delivery, her vagina was examined to determine the presence of any tears. Lacerations to the perineal mucosa and muscles were noted, however there was no involvement of the anal sphincters. 
What grade perineal tear does this woman have?","[""Grade 1 tear"", ""Grade 3b tear"", ""Grade 4 tear"", ""Grade 2 tear"", ""Grade 3a tear""]",D,Grade 2 tear,
16. Obstetrics & Gynaecology_Obstetrics_3.csv,Clinical,Medium,"[""obstetrics"", ""obstetrics & gynaecology""]","A 24-year-old woman presents to the GP with serious persistent vomiting. She is 7 weeks along in her pregnancy and has had intractable nausea and vomiting. She has been unable to keep food down and continues to vomit on average 8 times throughout the day. Her pregnancy was confirmed with a home pregnancy test as well as serum B-HCG. She is G2P1 (two pregnancies, one delivery) and her previous pregnancy went much smoother.
On physical examination her vital signs are: HR 70, BP: 98/70, temp: 36.5, RR: 12, O2: 99%. She has sunken orbits and reduced skin turgor. There is no abdominal distension or tenderness.
Which of the following investigations is NOT immediately required?","[""Mid-stream urine (MSU) + Dipstick"", ""Urea, electrolytes and creatinine (UEC)"", ""Thyroid stimulating hormone (TSH)"", ""Serum\\nB-HCG"", ""Pregnancy ultrasound""]",D,Serum\nB-HCG,
5. Gastroenterology_Gastroenterology_6.csv,Clinical,Easy,"[""gastroenterology""]","A 21-year-old woman presents to her GP with anal pain exacerbated by defecation, associated with bleeding. She reports the blood being bright red, coating the stools. On enquiry, she states that she has recently been constipated.
On examination, there is a longitudinal laceration of the skin of the anal canal, located posteriorly.
A few days later, she reports experiencing light-headedness and a headache 15 minutes after using a medication that she was prescribed for her condition.
Which of the following medications is the most likely cause for her symptoms?","[""Topical glyceryl trinitrate"", ""Topical lignocaine"", ""Topical hydrocortisone"", ""Docusate"", ""Topical diltiazem""]",A,Topical glyceryl trinitrate,
11. Dermatology_Dermatology_2.csv,Clinical,Medium,"[""dermatology"", ""lipoma""]","Sally, a 56 year old, presents to her GP with a lump on her right forearm. She noticed the lump three months ago. During this time, the lump has slowly increased in size. Sally has not experienced any weight loss, rigors, night sweats or fevers. The lump is painless. Examination of the lump finds the following characteristics:
2cm diameter, solitary
Skin coloured - no changes to overlying skin
Well defined borders
Rubbery consistency
Not tender
Not tethered to underlying tissue - mobile
Sally is concerned that the lump might be cancerous as she has a family history of skin cancer. She reports being otherwise well.
What is the most likely diagnosis?","[""Angiolipoma"", ""Basal cell carcinoma"", ""Lipoma"", ""Abscess"", ""Epidermoid cyst""]",C,Lipoma,
6. Endocrinology_Endo_3.csv,Clinical,Medium,"[""endocrinology""]","A 54 year old female came into the GP complaining of frequent muscle aches and general fatigue. She claims to also have black spots in her mouth and a change in skin tone. On questioning, she reports being down with a viral infection 2 days ago.  
On inspection, the lady is bronzed toned with black hyperpigmentation on her left buccal mucosa. 
Which other symptom would this lady most likely have?","[""Aversion to salt and sugar"", ""Normal libido"", ""Weight gain"", ""Diarrhoea"", ""Headache""]",D,Diarrhoea,
7. Neurology_Neuro_3.csv,Preclinical,Medium,"[""neurology""]","A 28 year old female presents to the ED with fever, headache, photophobia and neck stiffness. She seems to be a little confused when the doctor attempts to take a history. 
What would be the best investigation to perform on this patient?","[""FBE"", ""CSF sample"", ""Glucose"", ""LFT"", ""UEC""]",B,CSF sample,
9. Nephrology & Urology_Nephrology___Urology_2.csv,Clinical,Hard,"[""nephrology"", ""nephrology & urology"", ""urinary obstruction"", ""urology""]","A 29 year old man presents to his GP complaining of problems urinating. Over the couple of weeks he has noticed that he has difficulty beginning to urinate despite an urge to go and has been needing to go more often than usual despite no changes to his diet and fluid intake. Upon further history, he also notes that his urinary stream has weakened. He denies any pain and any changes to his urine colour and smell and has not noticed any changes to his bowel habits. He also denies waking up to go to the toilet at night.
He has a past history of urinary tract infections and sexually transmitted infections, namely gonorrhoea and chlamydia, however has been using protection with his current partner. He has a family history of type 2 diabetes and cardiovascular disease. He has no known allergies and is not on any medication.
On examination, the man appears well, with a temperature reading of 37.6C. A penile exam shows no visible redness or swelling and no urethral discharge. A digital rectal exam reveals a rubbery, walnut-sized prostate with a smooth median sulcus.
A urine dipstick is performed and shows negative nitrites and leukocyte esterase. It is also negative for blood, glucose, protein and bacteria.
Based on the current clinical picture, what is the most likely diagnosis?","[""Prostatitis"", ""Urethral stricture"", ""Urinary tract infection"", ""Nephrogenic diabetes insipidus"", ""Benign prostatic hyperplasia""]",B,Urethral stricture,
7. Neurology_Neuro_2.csv,Clinical,Medium,"[""epilepsy"", ""neurology""]","Sarah is an 18 year old girl who was brought in by ambulance after an event at home witnessed by her mother. Her mother reports that Sarah suddenly stiffened all over, falling off the chair and jerking uncontrollably on the floor as well as soiling herself during the event.
After further questioning you discover that Sarah also suffers from recurrent quick jerks of both her arms usually worst in the morning when she is brushing her teeth. These movements last for a few seconds at most and occur in clusters. She thinks that the jerking is worse after having a long night out partying with her friends. 
On examination, you notice Sarah has some weakness on her left side. All her observations are within the normal range.
What condition is Sarah MOST LIKELY suffering from?","[""West Syndrome"", ""Juvenile Myoclonic Epilepsy"", ""Lennox Gastaut Syndrome"", ""Epilepsy with generalised tonic clonic seizures""]",B,Juvenile Myoclonic Epilepsy,
12. Surgery & Anatomy_Ophthal_3.csv,Clinical,Easy,"[""ophthalmology"", ""surgery & anatomy""]","A 50-year-old man presents for a routine eye examination at the optometrist with no symptoms. He has elevated intraocular pressure of 25 mmHg in the right eye and 30 mmHg in the left eye. Corneal thickness and gonioscopy are normal. Subsequent automated testing of visual fields demonstrates peripheral visual field loss greater in the left eye than in the right. Repeated automated visual field testing gives the same defects.
What is the most likely diagnosis?","[""Myopia"", ""Glaucoma"", ""Cortical blindness"", ""Cataract"", ""Pituitary tumour""]",B,Glaucoma,
10. Infectious Diseases_Infectious_Diseases_2.csv,Preclinical,Easy,"[""cardiology"", ""diseases"", ""fever"", ""infectious"", ""infectious diseases"", ""infective endocarditis""]","Eddie, a 57 year old male, presents to the emergency department with a fever. He has been unwell for 2 weeks with malaise, fatigue and fever, but with no clear cause. He wakes at night drenched in sweat. Over the last few days he has become quite weak. Eddie is an intravenous drug user with a past medical history of several admissions for injection site infections and abscesses and once for a suspected overdose. He has no notable family history he knows of. Apart from the intravenous drugs, Eddie smokes about half a pack per day of cigarettes but rarely drinks alcohol. On examination, Eddie’s vital signs are as follows: BP: 125/75 HR: 86 RR: 14 Temperature: 39˚C. In inspection of his hands, there are painful nodules on the pads of his fingers and splinter haemorrhages are noted under his nails. He also has buccal petechiae. On auscultation, there is a murmur that does not seem to have been identified in prior visits. The murmur is best heard at the lower left sternal border. What is the MOST LIKELY diagnosis?","[""Rheumatic Heart Disease"", ""Infective Endocarditis"", ""Acute Myocardial Infarction"", ""Pneumonia"", ""Dilated Cardiomyopathy""]",B,Infective Endocarditis,
12. Surgery & Anatomy_Surgery_4.csv,Clinical,Hard,"[""surgery"", ""surgery & anatomy""]","A 56 year old woman presents to her local GP complaining of long-standing, progressively worsening pain in both knees, especially her right knee. She reports stiffness in the morning that lasts about 10 minutes, and is unable to walk for more than 20 minutes due to the pain.
On examination, there is small effusion in both knees, and limited flexion especially in the right knee. There are no other abnormal findings.
She is initially recommended an exercise program and prescribed topical NSAIDs to help with her symptoms. However, her pain persists, causing her severe disability. She is eventually referred for an orthopaedic opinion and is considered for surgery.
After a successful operation, she receives venous thromboembolism (VTE) prophylaxis taken orally.
Other than the surgery this patient will likely receive, which of the following surgeries is the anticoagulant agent she is taking approved for?","[""Total hip\\nreplacement surgery"", ""Caesarean section"", ""Vascular surgery"", ""Cholecystectomy"", ""Hip fracture surgery""]",A,Total hip\nreplacement surgery,
12. Surgery & Anatomy_Surgery_3.csv,Clinical,Easy,"[""groin lump"", ""surgery"", ""surgery & anatomy""]","A 72 year old man presents to the GP with a lump in his groin. He first noticed it a few weeks ago and he only notices that it is there when he is doing certain movements and it does not overly bother him. He has had no change in bowel habits, nausea or vomiting. 
On examination, the abdomen is soft and non tender. A soft reducible mass is felt superolateral to the pubic tubercle with the Valsalva manoeuvre. Ultrasound reveals a small inguinal hernia containing fat. 
What is the most appropriate management of this patient?","[""Laparoscopic repair"", ""No further management"", ""Open-mesh repair"", ""Truss"", ""Watchful waiting""]",E,Watchful waiting,
18. MSK_Rheum__MSKRheum_3.csv,Clinical,Easy,"[""rheumatology""]","An 83 year-old female living alone in a retirement home is brought in by ambulance with pain in her hip and an inability to weight-bear. She had fallen from standing height on her way to the kitchen for a late night snack. She does not report syncope, chest pain, weakness or loss of consciousness prior to the fall. She was unable to get up and called for assistance. Her pain is currently an 8/10 and she is tender on palpation.
On physical examination she has a shortened and externally rotated left leg.
Her X-ray is shown below: (in the row below)
https://radiopaedia.org/articles/femoral-neck-fracture 
What is the most appropriate initial management for this patient?","[""Bisphosphonates"", ""Traction"", ""Surgery"", ""Rest,\\nIce, Compression, Elevation"", ""Social work""]",C,Surgery,
